iter	Passed	Remaining
444	1159	1445
445	1161	1442
446	1162	1438
447	1165	1435
448	1167	1432
449	1169	1429
450	1171	1425
451	1172	1422
452	1174	1418
453	1176	1415
454	1178	1411
455	1180	1408
456	1182	1405
457	1184	1402
458	1186	1398
459	1188	1395
460	1190	1391
461	1192	1388
462	1193	1384
463	1195	1380
464	1197	1377
465	1198	1373
466	1200	1370
467	1202	1367
468	1204	1363
469	1206	1360
470	1208	1356
471	1209	1353
472	1211	1350
473	1213	1347
474	1215	1343
475	1217	1340
476	1219	1337
477	1221	1333
478	1223	1330
479	1225	1327
480	1227	1323
481	1228	1320
482	1231	1317
483	1233	1314
484	1234	1311
485	1237	1308
486	1239	1305
487	1241	1302
488	1243	1298
489	1245	1295
490	1247	1292
491	1249	1289
492	1251	1286
493	1253	1283
494	1255	1281
495	1257	1278
496	1260	1275
497	1262	1272
498	1264	1269
499	1266	1266
500	1268	1263
501	1269	1259
502	1271	1256
503	1273	1253
504	1275	1249
505	1276	1246
506	1278	1243
507	1280	1240
508	1282	1236
509	1283	1233
510	1285	1230
511	1287	1227
512	1289	1223
513	1290	1220
514	1292	1217
515	1294	1214
516	1296	1211
517	1298	1208
518	1300	1205
519	1301	1201
520	1303	1198
521	1305	1195
522	1307	1192
523	1309	1189
524	1310	1185
525	1312	1182
526	1314	1179
527	1316	1176
528	1317	1173
529	1319	1170
530	1321	1167
531	1323	1163
532	1325	1160
533	1326	1157
534	1328	1154
535	1330	1151
536	1331	1148
537	1333	1145
538	1335	1142
539	1337	1139
540	1338	1135
541	1340	1132
542	1342	1129
543	1344	1126
544	1345	1123
545	1347	1120
546	1349	1117
547	1350	1114
548	1352	1111
549	1354	1108
550	1356	1105
551	1358	1102
552	1360	1099
553	1361	1096
554	1363	1093
555	1365	1090
556	1366	1086
557	1368	1083
558	1369	1080
559	1371	1077
560	1373	1074
561	1375	1071
562	1376	1068
563	1378	1065
564	1379	1062
565	1381	1059
566	1383	1056
567	1385	1053
568	1387	1050
569	1389	1047
570	1390	1045
571	1392	1042
572	1394	1039
573	1396	1036
574	1398	1033
575	1399	1030
576	1401	1027
577	1403	1024
578	1405	1021
579	1407	1019
580	1409	1016
581	1410	1013
582	1412	1010
583	1414	1007
584	1415	1004
585	1417	1001
586	1419	998
587	1420	995
588	1422	992
589	1424	989
590	1425	986
591	1427	983
592	1429	980
593	1430	977
594	1432	975
595	1434	972
596	1436	969
597	1437	966
598	1439	963
599	1441	960
600	1442	957
601	1444	955
602	1446	952
603	1447	949
604	1449	946
605	1451	943
606	1453	940
607	1454	937
608	1456	935
609	1458	932
610	1460	929
611	1462	927
612	1463	924
613	1465	921
614	1467	918
615	1469	915
616	1470	913
617	1472	910
618	1474	907
619	1476	905
620	1478	902
621	1479	899
622	1481	896
623	1483	893
624	1485	891
625	1486	888
626	1488	885
627	1490	883
628	1492	880
629	1494	877
630	1496	875
631	1498	872
632	1500	869
633	1501	867
634	1503	864
635	1505	861
636	1507	859
637	1509	856
638	1510	853
639	1512	850
640	1514	848
641	1516	845
642	1518	843
643	1520	840
644	1522	837
645	1523	834
646	1525	832
647	1526	829
648	1528	826
649	1530	824
650	1532	821
651	1534	818
652	1536	816
653	1537	813
654	1539	810
655	1540	807
656	1542	805
657	1543	802
658	1545	799
659	1547	797
660	1549	794
661	1550	791
662	1552	789
663	1554	786
664	1556	783
665	1557	781
666	1559	778
667	1561	775
668	1563	773
669	1565	770
670	1566	768
671	1568	765
672	1569	762
673	1571	760
674	1572	757
675	1574	754
676	1575	751
677	1578	749
678	1580	746
679	1581	744
680	1583	741
681	1584	738
682	1586	736
683	1588	733
684	1589	730
685	1590	728
686	1592	725
687	1594	722
688	1595	720
689	1597	717
690	1599	715
691	1600	712
692	1602	709
693	1603	707
694	1605	704
695	1607	701
696	1608	699
697	1610	696
698	1612	694
699	1613	691
700	1615	688
701	1616	686
702	1618	683
703	1619	681
704	1621	678
705	1623	675
706	1624	673
707	1626	670
708	1628	668
709	1629	665
710	1631	663
711	1633	660
712	1634	658
713	1636	655
714	1637	652
715	1639	650
716	1641	647
717	1643	645
718	1645	642
719	1646	640
720	1648	637
721	1650	635
722	1651	632
723	1653	630
724	1655	627
725	1658	625
726	1660	623
727	1661	620
728	1663	618
729	1664	615
730	1666	613
731	1668	610
732	1670	608
733	1671	605
734	1673	603
735	1675	601
736	1677	598
737	1679	596
738	1680	593
739	1682	591
740	1683	588
741	1685	585
742	1687	583
743	1688	581
744	1690	578
745	1691	576
746	1693	573
747	1695	571
748	1696	568
749	1698	566
750	1700	563
751	1702	561
752	1704	559
753	1706	556
754	1707	554
755	1709	551
756	1710	549
757	1712	546
758	1713	544
759	1715	541
760	1717	539
761	1718	536
762	1720	534
763	1722	532
764	1724	529
765	1726	527
766	1727	524
767	1729	522
768	1731	520
769	1733	517
770	1735	515
771	1737	513
772	1739	510
773	1741	508
774	1742	505
775	1744	503
776	1745	501
777	1747	498
778	1748	496
779	1750	493
780	1752	491
781	1754	489
782	1756	486
783	1757	484
784	1759	481
785	1761	479
786	1762	477
787	1764	474
788	1766	472
789	1767	469
790	1769	467
791	1771	465
792	1773	462
793	1774	460
794	1776	458
795	1778	455
796	1779	453
797	1781	450
798	1783	448
799	1784	446
800	1786	443
801	1787	441
802	1789	439
803	1791	436
804	1792	434
805	1794	431
806	1795	429
807	1797	427
808	1799	424
809	1801	422
810	1802	420
811	1804	417
812	1805	415
813	1807	412
814	1809	410
815	1810	408
816	1812	405
817	1814	403
818	1816	401
819	1817	399
820	1819	396
821	1820	394
822	1822	391
823	1824	389
824	1825	387
825	1827	384
826	1829	382
827	1831	380
828	1832	378
829	1834	375
830	1836	373
831	1838	371
832	1839	368
833	1841	366
834	1843	364
835	1844	361
836	1846	359
837	1848	357
838	1849	355
839	1851	352
840	1852	350
841	1854	348
842	1856	345
843	1858	343
844	1859	341
845	1862	338
846	1863	336
847	1865	334
848	1866	332
849	1868	329
850	1870	327
851	1871	325
852	1873	322
853	1874	320
854	1876	318
855	1878	315
856	1879	313
857	1881	311
858	1883	309
859	1884	306
860	1886	304
861	1888	302
862	1889	299
863	1891	297
864	1892	295
865	1894	293
866	1896	290
867	1897	288
868	1899	286
869	1900	284
870	1902	281
871	1903	279
872	1905	277
873	1907	274
874	1909	272
875	1911	270
876	1912	268
877	1914	266
878	1916	263
879	1917	261
880	1919	259
881	1921	257
882	1924	254
883	1926	252
884	1927	250
885	1929	248
886	1931	246
887	1932	243
888	1934	241
889	1935	239
890	1937	237
891	1939	234
892	1941	232
893	1943	230
894	1944	228
895	1946	225
896	1947	223
897	1949	221
898	1951	219
899	1952	216
900	1954	214
901	1956	212
902	1958	210
903	1959	208
904	1961	205
905	1962	203
906	1964	201
907	1966	199
908	1967	196
909	1969	194
910	1971	192
911	1972	190
912	1974	188
913	1976	185
914	1977	183
915	1979	181
916	1980	179
917	1982	177
918	1983	174
919	1985	172
920	1986	170
921	1988	168
922	1990	166
923	1991	163
924	1993	161
925	1995	159
926	1997	157
927	1998	155
928	2000	152
929	2002	150
930	2003	148
931	2005	146
932	2007	144
933	2009	141
934	2010	139
935	2012	137
936	2014	135
937	2015	133
938	2017	131
939	2018	128
940	2020	126
941	2022	124
942	2023	122
943	2025	120
944	2027	117
945	2029	115
946	2030	113
947	2032	111
948	2034	109
949	2035	107
950	2037	104
951	2039	102
952	2040	100
953	2042	98
954	2043	96
955	2045	94
956	2046	91
957	2048	89
958	2050	87
959	2051	85
960	2053	83
961	2054	81
962	2056	79
963	2058	76
964	2059	74
965	2061	72
966	2062	70
967	2064	68
968	2066	66
969	2067	63
970	2069	61
971	2071	59
972	2072	57
973	2074	55
974	2075	53
975	2077	51
976	2079	48
977	2080	46
978	2082	44
979	2084	42
980	2085	40
981	2087	38
982	2089	36
983	2091	34
984	2092	31
985	2094	29
986	2095	27
987	2097	25
988	2099	23
989	2100	21
990	2102	19
991	2104	16
992	2105	14
993	2107	12
994	2109	10
995	2110	8
996	2112	6
997	2114	4
998	2115	2
999	2117	0
