iter	RMSE
0	43.190953
1	43.11496109
2	43.01376248
3	42.95610529
4	42.86568032
5	42.76692391
6	42.68500963
7	42.60676433
8	42.53589612
9	42.47355984
10	42.38402656
11	42.29208708
12	42.22796054
13	42.11393229
14	42.05655277
15	41.95418281
16	41.89508631
17	41.80723514
18	41.71909143
19	41.62253277
20	41.52908388
21	41.44944135
22	41.39437157
23	41.32588029
24	41.23995212
25	41.15070349
26	41.08665349
27	41.02951141
28	40.95775637
29	40.89227823
30	40.79620084
31	40.74805882
32	40.7142679
33	40.64982395
34	40.60076461
35	40.48622647
36	40.42415925
37	40.34147374
38	40.28952644
39	40.19477919
40	40.14077157
41	40.10464416
42	40.05654441
43	39.98351196
44	39.91916735
45	39.87738366
46	39.81275125
47	39.75668069
48	39.69253597
49	39.6352448
50	39.54266025
51	39.46543955
52	39.42167908
53	39.35543824
54	39.27469806
55	39.17163489
56	39.0931678
57	39.03283237
58	38.9713939
59	38.9378759
60	38.82560671
61	38.78626121
62	38.70910218
63	38.64851042
64	38.61976207
65	38.5639644
66	38.48807769
67	38.42484571
68	38.36487059
69	38.29703635
70	38.22762087
71	38.15127075
72	38.03834886
73	37.99273019
74	37.9448129
75	37.89787122
76	37.84440829
77	37.81063105
78	37.77661573
79	37.71349915
80	37.64413988
81	37.61365293
82	37.5521324
83	37.51515424
84	37.46148984
85	37.40421162
86	37.33985989
87	37.29951143
88	37.22318079
89	37.15058219
90	37.09532743
91	37.04752676
92	37.00066439
93	36.92213742
94	36.88787746
95	36.8248547
96	36.74545691
97	36.69604747
98	36.62098802
99	36.56185674
100	36.48466739
101	36.42684583
102	36.39200661
103	36.33647367
104	36.29223977
105	36.23865438
106	36.17102079
107	36.11797324
108	36.06396814
109	36.00824007
110	35.95533581
111	35.8821774
112	35.85697209
113	35.80307201
114	35.73241246
115	35.66596757
116	35.57370603
117	35.49694451
118	35.45051006
119	35.41525969
120	35.34561566
121	35.31290072
122	35.26071538
123	35.19601335
124	35.13006281
125	35.08707474
126	35.04522187
127	35.00474547
128	34.9456027
129	34.91344746
130	34.86995755
131	34.81139223
132	34.78284818
133	34.74453395
134	34.70681534
135	34.66898777
136	34.61539051
137	34.54840355
138	34.47380013
139	34.42613376
140	34.37347578
141	34.33611202
142	34.29510544
143	34.24011291
144	34.18462039
145	34.13596686
146	34.10617497
147	34.05385526
148	34.0224134
149	33.99154516
150	33.94689757
151	33.9055815
152	33.86340623
153	33.82678354
154	33.77887545
155	33.73091589
156	33.70805223
157	33.66011082
158	33.58585927
159	33.55194002
160	33.51823683
161	33.48124232
162	33.43508782
163	33.38844861
164	33.31293671
165	33.26678757
166	33.2127852
167	33.16110359
168	33.10049395
169	33.04163618
170	32.99323416
171	32.96257563
172	32.92184664
173	32.90800857
174	32.85150107
175	32.79125937
176	32.76299032
177	32.73230944
178	32.68981584
179	32.66606842
180	32.61624641
181	32.57908111
182	32.5299876
183	32.5012083
184	32.44770221
185	32.40847803
186	32.34990585
187	32.28981575
188	32.22718965
189	32.19258721
190	32.13264128
191	32.09836012
192	32.06493035
193	32.02931777
194	31.97121204
195	31.93852703
196	31.88426227
197	31.8387098
198	31.77480775
199	31.72375603
200	31.66737992
201	31.58074175
202	31.54744189
203	31.50687577
204	31.453245
205	31.41129166
206	31.35886168
207	31.30911894
208	31.27185254
209	31.23682178
210	31.19415525
211	31.150393
212	31.11538149
213	31.08928004
214	31.02568982
215	30.99037581
216	30.94594064
217	30.91900913
218	30.88112111
219	30.85440264
220	30.83510261
221	30.81142355
222	30.76211595
223	30.73783228
224	30.69744342
225	30.6466595
226	30.61567691
227	30.58166204
228	30.55021198
229	30.50780764
230	30.44965056
231	30.43345121
232	30.35421962
233	30.30267505
234	30.2553747
235	30.185821
236	30.13518212
237	30.0833974
238	30.03129573
239	29.98246415
240	29.93298927
241	29.91326852
242	29.86899574
243	29.84427405
244	29.82003551
245	29.79553279
246	29.76759392
247	29.72561637
248	29.68678377
249	29.6260023
250	29.56778345
251	29.52031441
252	29.44590814
253	29.39584686
254	29.36721172
255	29.31490833
256	29.26329528
257	29.1949613
258	29.15525278
259	29.09976305
260	29.04660436
261	28.99011722
262	28.93904322
263	28.89233098
264	28.85594682
265	28.81885106
266	28.74921001
267	28.71410627
268	28.65263882
269	28.62244788
270	28.55851244
271	28.53066425
272	28.46512015
273	28.42944048
274	28.37703906
275	28.34736978
276	28.29706497
277	28.26316987
278	28.23768972
279	28.20346355
280	28.17492434
281	28.12298502
282	28.09955063
283	28.06765058
284	28.04288932
285	28.01815632
286	27.96328541
287	27.9501706
288	27.91861377
289	27.9030494
290	27.87269851
291	27.83197152
292	27.82252159
293	27.78066958
294	27.76831476
295	27.7456883
296	27.72035392
297	27.6997237
298	27.64824791
299	27.63288354
300	27.60217035
301	27.58434502
302	27.56465598
303	27.52011379
304	27.50023212
305	27.47268454
306	27.4160086
307	27.40232492
308	27.34827813
309	27.30631517
310	27.26899307
311	27.22254534
312	27.19326225
313	27.15553619
314	27.13799757
315	27.11126654
316	27.08918586
317	27.04096932
318	27.03804477
319	26.99033212
320	26.93753101
321	26.89149658
322	26.83995568
323	26.80254351
324	26.73427507
325	26.68923654
326	26.65314012
327	26.63362783
328	26.60499833
329	26.556579
330	26.51751662
331	26.47709464
332	26.44326271
333	26.40229003
334	26.3580957
335	26.33077171
336	26.30216752
337	26.27533968
338	26.22319113
339	26.2003135
340	26.15765871
341	26.11840064
342	26.06124906
343	26.03153894
344	25.966092
345	25.93332929
346	25.88999694
347	25.83660321
348	25.78927005
349	25.77667074
350	25.74889117
351	25.70097306
352	25.67563145
353	25.63994079
354	25.60119819
355	25.57476415
356	25.5442692
357	25.49390412
358	25.45598607
359	25.42085546
360	25.38496644
361	25.37859287
362	25.34551892
363	25.33662503
364	25.28162421
365	25.2267903
366	25.19113332
367	25.16732919
368	25.11788315
369	25.08251995
370	25.04959958
371	25.01675416
372	24.96564954
373	24.92361046
374	24.88743827
375	24.85937312
376	24.81548005
377	24.780721
378	24.75804526
379	24.73472519
380	24.72021424
381	24.67948805
382	24.64396988
383	24.60757119
384	24.58588334
385	24.54562545
386	24.52168392
387	24.48281445
388	24.45502216
389	24.4158903
390	24.37398399
391	24.34119039
392	24.33231215
393	24.27153045
394	24.25218823
395	24.22062618
396	24.18455429
397	24.15630849
398	24.11205923
399	24.08897634
400	24.05967554
401	24.00081607
402	23.97524118
403	23.94396236
404	23.90118465
405	23.86539301
406	23.82476262
407	23.78875521
408	23.7753763
409	23.74820453
410	23.70384653
411	23.66413609
412	23.64968124
413	23.6372431
414	23.63537259
415	23.6125204
416	23.57564676
417	23.5554567
418	23.51623384
419	23.46717036
420	23.43151935
421	23.39795883
422	23.36983249
423	23.33768293
424	23.30395294
425	23.27274695
426	23.26479785
427	23.20884448
428	23.1814546
429	23.14422699
430	23.12569135
431	23.11328766
432	23.09936361
433	23.06531839
434	23.03071813
435	23.00547773
436	22.98102601
437	22.97154607
438	22.92501612
439	22.87282235
440	22.84637925
441	22.8216421
442	22.77759796
443	22.75620423
444	22.70134968
445	22.65050144
446	22.6237448
447	22.61073403
448	22.58335447
449	22.55887233
450	22.52914992
451	22.49139482
452	22.4696373
453	22.42440835
454	22.39891333
455	22.37054262
456	22.34303203
457	22.3064931
458	22.282291
459	22.24938257
460	22.21413621
461	22.19959875
462	22.15087619
463	22.14079241
464	22.12065602
465	22.08559371
466	22.07030012
467	22.03142382
468	22.01219506
469	21.96395883
470	21.95737309
471	21.94671161
472	21.93288872
473	21.88983667
474	21.87222788
475	21.84783044
476	21.82182184
477	21.78480972
478	21.74424552
479	21.7175451
480	21.68711308
481	21.64303967
482	21.61728763
483	21.59858579
484	21.56704563
485	21.53852119
486	21.4983644
487	21.4687972
488	21.44722416
489	21.40776443
490	21.37973303
491	21.34132147
492	21.30040788
493	21.27214257
494	21.23113417
495	21.20859549
496	21.17238438
497	21.14616246
498	21.12459974
499	21.1036952
500	21.06410873
501	21.03098244
502	20.99209133
503	20.95137044
504	20.91845037
505	20.88860303
506	20.86735712
507	20.84426082
508	20.81441088
509	20.78266063
510	20.74985967
511	20.72293608
512	20.69895983
513	20.66768454
514	20.64320182
515	20.61289113
516	20.58413142
517	20.57039077
518	20.54614577
519	20.51422594
520	20.47873152
521	20.4459622
522	20.4243324
523	20.39385874
524	20.35943492
525	20.34227746
526	20.30855908
527	20.26337188
528	20.2192197
529	20.1935481
530	20.16731782
531	20.13428819
532	20.11391205
533	20.08571582
534	20.06171492
535	20.03983293
536	20.01118583
537	20.00120255
538	19.96925614
539	19.94803645
540	19.92079296
541	19.88641786
542	19.86234126
543	19.82822078
544	19.8001402
545	19.76382957
546	19.744412
547	19.7288241
548	19.70022899
549	19.68294028
550	19.66326106
551	19.65915723
552	19.62252394
553	19.60311777
554	19.56577643
555	19.564881
556	19.52154121
557	19.50412716
558	19.47805361
559	19.4612293
560	19.43395031
561	19.39189888
562	19.37383897
563	19.37041155
564	19.34348543
565	19.31689513
566	19.29768508
567	19.27727095
568	19.2387233
569	19.20789148
570	19.18495362
571	19.16635622
572	19.13876486
573	19.12217604
574	19.09194955
575	19.06455511
576	19.03284254
577	19.02607699
578	19.00292319
579	18.97748558
580	18.95147897
581	18.92601639
582	18.8953771
583	18.87611397
584	18.85120822
585	18.82053617
586	18.77474956
587	18.7440258
588	18.71772815
589	18.70233821
590	18.6831486
591	18.6502226
592	18.63537643
593	18.60842133
594	18.58269301
595	18.57043537
596	18.54597359
597	18.53265917
598	18.50362883
599	18.4734864
600	18.45629932
601	18.43026338
602	18.39456799
603	18.38583203
604	18.35902917
605	18.33617578
606	18.31476457
607	18.28643253
608	18.26699088
609	18.23280949
610	18.20756929
611	18.18021739
612	18.15498691
613	18.12064518
614	18.08967758
615	18.06897904
616	18.04413167
617	18.01157403
618	17.99512581
619	17.98004119
620	17.95963824
621	17.94559055
622	17.91534444
623	17.89478205
624	17.86580172
625	17.85545262
626	17.82732068
627	17.79384197
628	17.76240496
629	17.73759998
630	17.7160463
631	17.68533177
632	17.66339934
633	17.65422315
634	17.64058517
635	17.5883087
636	17.57312876
637	17.55101564
638	17.53095912
639	17.50956905
640	17.48740435
641	17.46915218
642	17.45139268
643	17.40641056
644	17.3679404
645	17.33229412
646	17.29371472
647	17.27472617
648	17.26135412
649	17.24956026
650	17.21907663
651	17.19998808
652	17.1919799
653	17.16916113
654	17.14458966
655	17.12947148
656	17.09924194
657	17.06365229
658	17.04402217
659	17.01368659
660	16.99384404
661	16.97556563
662	16.95724928
663	16.93757471
664	16.91452671
665	16.89070718
666	16.87057643
667	16.85565892
668	16.82954662
669	16.79639926
670	16.76989183
671	16.75297974
672	16.73386868
673	16.70990756
674	16.68115793
675	16.65764394
676	16.65495509
677	16.62839363
678	16.59513288
679	16.5635013
680	16.54515253
681	16.51607894
682	16.50216578
683	16.48244565
684	16.46352499
685	16.43753165
686	16.42686329
687	16.41280515
688	16.3974918
689	16.37557338
690	16.36216123
691	16.34485154
692	16.3291363
693	16.32132312
694	16.30388567
695	16.28566095
696	16.26301172
697	16.23098197
698	16.21776727
699	16.19802709
700	16.1737876
701	16.15169629
702	16.12677865
703	16.10209441
704	16.08181337
705	16.0631559
706	16.03626058
707	16.02284333
708	16.01724997
709	16.0001482
710	15.96899885
711	15.93353315
712	15.9042208
713	15.87494069
714	15.86523253
715	15.84366784
716	15.81665612
717	15.78631428
718	15.76766418
719	15.75138932
720	15.71632042
721	15.68857757
722	15.6687116
723	15.64255257
724	15.63870008
725	15.62379428
726	15.6085821
727	15.57761273
728	15.56182353
729	15.54506327
730	15.51766005
731	15.49370633
732	15.46851937
733	15.45432583
734	15.43108454
735	15.41304524
736	15.40069433
737	15.36841586
738	15.35862134
739	15.34578715
740	15.33520998
741	15.29467173
742	15.2818709
743	15.27022373
744	15.2486234
745	15.24173253
746	15.22474123
747	15.21351675
748	15.19456199
749	15.17954973
750	15.1654913
751	15.15477941
752	15.14742548
753	15.1275916
754	15.10705352
755	15.07206003
756	15.05039005
757	15.03135068
758	15.00730037
759	14.99853468
760	14.99232755
761	14.99104364
762	14.969862
763	14.93919132
764	14.92929243
765	14.9055659
766	14.88484762
767	14.87000429
768	14.86907106
769	14.84654485
770	14.82259605
771	14.78903427
772	14.77396846
773	14.76850505
774	14.76354011
775	14.74499599
776	14.72432019
777	14.70763051
778	14.69234543
779	14.67530803
780	14.67059705
781	14.65896716
782	14.63802653
783	14.63478442
784	14.6129688
785	14.59375205
786	14.58177357
787	14.55226801
788	14.54146694
789	14.52319183
790	14.50542325
791	14.48099193
792	14.47579469
793	14.46016518
794	14.43779904
795	14.41468063
796	14.39734409
797	14.38320658
798	14.38143399
799	14.36932638
800	14.34860923
801	14.33383846
802	14.31525544
803	14.29991993
804	14.29679576
805	14.28239439
806	14.26487738
807	14.24479023
808	14.23454448
809	14.22052992
810	14.19761406
811	14.1922611
812	14.18526836
813	14.16561007
814	14.14070375
815	14.11566157
816	14.10132219
817	14.09214524
818	14.06366033
819	14.04767394
820	14.02913353
821	14.01312831
822	14.00025671
823	13.97339173
824	13.95513971
825	13.93498008
826	13.91920906
827	13.90621198
828	13.88499464
829	13.86234918
830	13.84139405
831	13.82920246
832	13.81417144
833	13.79108096
834	13.7785887
835	13.7760854
836	13.76901733
837	13.74255509
838	13.73816611
839	13.72419515
840	13.70049778
841	13.67763601
842	13.66129251
843	13.65307156
844	13.6251342
845	13.59438192
846	13.58007099
847	13.54540183
848	13.5216915
849	13.50284031
850	13.48962164
851	13.46926174
852	13.46656476
853	13.44788503
854	13.42689144
855	13.39735307
856	13.37439491
857	13.36169674
858	13.33161608
859	13.31386792
860	13.29552919
861	13.27691054
862	13.25938014
863	13.23571803
864	13.22359148
865	13.2041771
866	13.19084015
867	13.18539894
868	13.17182169
869	13.16104019
870	13.13744109
871	13.11540889
872	13.10005247
873	13.08569677
874	13.07564297
875	13.05618801
876	13.04446154
877	13.02133213
878	13.00390338
879	12.99305122
880	12.97503339
881	12.95871505
882	12.94825852
883	12.93179357
884	12.90561378
885	12.88928209
886	12.87449444
887	12.86722271
888	12.85469147
889	12.83833047
890	12.82331942
891	12.8117134
892	12.78770988
893	12.77383838
894	12.76118249
895	12.74880534
896	12.72337893
897	12.7105976
898	12.68237778
899	12.67108777
900	12.65959129
901	12.64944892
902	12.64719317
903	12.61951424
904	12.60024915
905	12.58744505
906	12.58088757
907	12.56837042
908	12.55503728
909	12.53347384
910	12.52583875
911	12.51645379
912	12.50415378
913	12.48535158
914	12.46786234
915	12.44381335
916	12.43262614
917	12.42090661
918	12.40313638
919	12.38718173
920	12.38554462
921	12.36860679
922	12.35724995
923	12.33847854
924	12.32133461
925	12.31173309
926	12.30136925
927	12.29456147
928	12.27299863
929	12.26820863
930	12.25858661
931	12.2489456
932	12.23652776
933	12.22680089
934	12.20728208
935	12.18971579
936	12.16501641
937	12.1404104
938	12.13311389
939	12.11821925
940	12.10682928
941	12.07830328
942	12.06226852
943	12.04993854
944	12.03274034
945	12.01810635
946	12.00450612
947	11.9921894
948	11.98200121
949	11.98133859
950	11.9674402
951	11.95022433
952	11.94337897
953	11.92903716
954	11.90702925
955	11.88786836
956	11.87981499
957	11.87170875
958	11.85480918
959	11.84373383
960	11.83375691
961	11.81897548
962	11.80554567
963	11.78970225
964	11.77852732
965	11.75587451
966	11.74561716
967	11.73664039
968	11.72058683
969	11.70433101
970	11.69515124
971	11.68234243
972	11.6728581
973	11.65561762
974	11.63406714
975	11.62124063
976	11.61334018
977	11.59808539
978	11.58477493
979	11.57615788
980	11.56603814
981	11.54587014
982	11.53112958
983	11.51714242
984	11.51027101
985	11.50360113
986	11.5003941
987	11.48930645
988	11.47385337
989	11.46119133
990	11.44340234
991	11.43475179
992	11.42414271
993	11.41298304
994	11.41223848
995	11.39916984
996	11.39856034
997	11.38526839
998	11.37641933
999	11.35088737
